QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,MCC,NBD,LOC,#Pa,#MC,#AF
"<Method>com.thoughtworks.selenium.CommandProcessor.public abstract doCommand( String, String ): String","doCommand( String, String ): String",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,0
"<Method>com.thoughtworks.selenium.CommandProcessor.public abstract getBoolean( String, String ): boolean","getBoolean( String, String ): boolean",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,0
"<Method>com.thoughtworks.selenium.CommandProcessor.public abstract getBooleanArray( String, String ): boolean","getBooleanArray( String, String ): boolean",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,0
"<Method>com.thoughtworks.selenium.CommandProcessor.public abstract getNumber( String, String ): Number","getNumber( String, String ): Number",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,0
"<Method>com.thoughtworks.selenium.CommandProcessor.public abstract getNumberArray( String, String ): Number","getNumberArray( String, String ): Number",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,0
<Method>com.thoughtworks.selenium.CommandProcessor.public abstract getRemoteControlServerLocation( ): String,getRemoteControlServerLocation( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
"<Method>com.thoughtworks.selenium.CommandProcessor.public abstract getString( String, String ): String","getString( String, String ): String",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,0
"<Method>com.thoughtworks.selenium.CommandProcessor.public abstract getStringArray( String, String ): String","getStringArray( String, String ): String",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,0
<Method>com.thoughtworks.selenium.CommandProcessor.public abstract setExtensionJs( String ): void,setExtensionJs( String ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0
<Method>com.thoughtworks.selenium.CommandProcessor.public abstract start( ): void,start( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Method>com.thoughtworks.selenium.CommandProcessor.public abstract start( Object ): void,start( Object ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0
<Method>com.thoughtworks.selenium.CommandProcessor.public abstract start( String ): void,start( String ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0
<Method>com.thoughtworks.selenium.CommandProcessor.public abstract stop( ): void,stop( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
com.thoughtworks.selenium.DefaultRemoteCommand,DefaultRemoteCommand,low,low,low,low,1,12,8,1,0,10,33,26,2,4,3,1,0,0.833,0.25,0.833,0,0,,,,33,,,,,,10,,,,,,
"<Method>com.thoughtworks.selenium.DefaultRemoteCommand.public DefaultRemoteCommand( String, String ): void","DefaultRemoteCommand( String, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,2,1,2
<Method>com.thoughtworks.selenium.DefaultRemoteCommand.public getCommandURLString( ): String,getCommandURLString( ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,11,0,10,4
<Method>com.thoughtworks.selenium.DefaultRemoteCommand.public static parse( String ): RemoteCommand,static parse( String ): RemoteCommand,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,7,1,1,4
<Method>com.thoughtworks.selenium.DefaultRemoteCommand.public toString( ): String,toString( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,0
<Field>com.thoughtworks.selenium.DefaultRemoteCommand->args,final args : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.DefaultRemoteCommand->command,final command : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.DefaultRemoteCommand->FIRSTINDEX,static final FIRSTINDEX : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.DefaultRemoteCommand->NUMARGSINCLUDINGBOUNDARIES,static final NUMARGSINCLUDINGBOUNDARIES : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.DefaultRemoteCommand->SECONDINDEX,static final SECONDINDEX : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.DefaultRemoteCommand->THIRDINDEX,static final THIRDINDEX : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.thoughtworks.selenium.DefaultSelenium,DefaultSelenium,very-high,low,very-high,low-medium,3,184,30,1,1,174,532,529,1,0,158,0,0,0,0.652,0.038,0,0,,,,532,,,,,,174,,,,,,
<Method>com.thoughtworks.selenium.DefaultSelenium.public DefaultSelenium( CommandProcessor ): void,DefaultSelenium( CommandProcessor ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,1
"<Method>com.thoughtworks.selenium.DefaultSelenium.public DefaultSelenium( String, int, String, String ): void","DefaultSelenium( String, int, String, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,4,1,1
"<Method>com.thoughtworks.selenium.DefaultSelenium.public addCustomRequestHeader( String, String ): void","addCustomRequestHeader( String, String ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,1,1
"<Method>com.thoughtworks.selenium.DefaultSelenium.public addLocationStrategy( String, String ): void","addLocationStrategy( String, String ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,2,1,1
"<Method>com.thoughtworks.selenium.DefaultSelenium.public addScript( String, String ): void","addScript( String, String ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,1,1
"<Method>com.thoughtworks.selenium.DefaultSelenium.public addSelection( String, String ): void","addSelection( String, String ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public allowNativeXpath( String ): void,allowNativeXpath( String ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public altKeyDown( ): void,altKeyDown( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public altKeyUp( ): void,altKeyUp( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public answerOnNextPrompt( String ): void,answerOnNextPrompt( String ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
"<Method>com.thoughtworks.selenium.DefaultSelenium.public assignId( String, String ): void","assignId( String, String ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,1,1
"<Method>com.thoughtworks.selenium.DefaultSelenium.public attachFile( String, String ): void","attachFile( String, String ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,1,1
"<Method>com.thoughtworks.selenium.DefaultSelenium.public captureEntirePageScreenshot( String, String ): void","captureEntirePageScreenshot( String, String ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public captureEntirePageScreenshotToString( String ): String,captureEntirePageScreenshotToString( String ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public captureNetworkTraffic( String ): String,captureNetworkTraffic( String ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public captureScreenshot( String ): void,captureScreenshot( String ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public captureScreenshotToString( ): String,captureScreenshotToString( ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public check( String ): void,check( String ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public chooseCancelOnNextConfirmation( ): void,chooseCancelOnNextConfirmation( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public chooseOkOnNextConfirmation( ): void,chooseOkOnNextConfirmation( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public click( String ): void,click( String ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
"<Method>com.thoughtworks.selenium.DefaultSelenium.public clickAt( String, String ): void","clickAt( String, String ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public close( ): void,close( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public contextMenu( String ): void,contextMenu( String ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
"<Method>com.thoughtworks.selenium.DefaultSelenium.public contextMenuAt( String, String ): void","contextMenuAt( String, String ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public controlKeyDown( ): void,controlKeyDown( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public controlKeyUp( ): void,controlKeyUp( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,1
"<Method>com.thoughtworks.selenium.DefaultSelenium.public createCookie( String, String ): void","createCookie( String, String ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public deleteAllVisibleCookies( ): void,deleteAllVisibleCookies( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,1
"<Method>com.thoughtworks.selenium.DefaultSelenium.public deleteCookie( String, String ): void","deleteCookie( String, String ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,1,1
